Partlist

Exported from A10-OLinuXino-Lime_Rev_C.sch at 19/10/2015 18:31

EAGLE Version 6.5.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part         Value                              Device                            Package                   Library           Sheet

+5V          TESTPADTESTPAD_40-ROUND            TESTPADTESTPAD_40-ROUND           TESTPAD_40-ROUND          gogo              1
1.2V_CPU     TESTPADTESTPAD_40-ROUND            TESTPADTESTPAD_40-ROUND           TESTPAD_40-ROUND          gogo              1
1.2V_INT     TESTPADTESTPAD_40-ROUND            TESTPADTESTPAD_40-ROUND           TESTPAD_40-ROUND          gogo              1
1.5V         TESTPADTESTPAD_40-ROUND            TESTPADTESTPAD_40-ROUND           TESTPAD_40-ROUND          gogo              1
2.5V         TESTPADTESTPAD_40-ROUND            TESTPADTESTPAD_40-ROUND           TESTPAD_40-ROUND          gogo              1
3.0VA        TESTPADTESTPAD_40-ROUND            TESTPADTESTPAD_40-ROUND           TESTPAD_40-ROUND          gogo              1
3.3V         TESTPADTESTPAD_40-ROUND            TESTPADTESTPAD_40-ROUND           TESTPAD_40-ROUND          gogo              1
5VEXT        TESTPADTESTPAD_40-ROUND            TESTPADTESTPAD_40-ROUND           TESTPAD_40-ROUND          gogo              1
5V_E         Open                               SJSJ_SMALLER                      SJ_1_SMALLER              jumper            1
5V_E_SATA                                       SJSJ_SMALLER                      SJ_1_SMALLER              jumper            1
5V_SATA_PWR  CON2DW02R                          CON2DW02R                         DW02R                     Penko             1
BAT          TESTPADTESTPAD_40-ROUND            TESTPADTESTPAD_40-ROUND           TESTPAD_40-ROUND          gogo              1
C1           220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C2           220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C3           220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C4           220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C5           220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C6           220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C7           220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C8           220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C9           220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C10          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C11          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C12          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C13          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C14          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C15          22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C16          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C17          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C18          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C19          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C20          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C21          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C22          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C23          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C24          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C25          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C26          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C27          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C28          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C29          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C30          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C31          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C32          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C33          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C34          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C35          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C36          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C37          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C38          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C39          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C40          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C41          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C42          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C43          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C44          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C45          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C46          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C47          1nF                                C-EUC0402_TI                      C0402_TI                  rcl               1
C48          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C49          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C50          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C51          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C52          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C53          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C54          100nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C55          22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C56          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C57          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C58          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C59          NA                                 C-EUC0603_DWS                     C0603_DWS                 rcl               1
C60          100nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C61          100nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C62          22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C63          33pF                               C-EUC0603_DWS                     C0603_DWS                 rcl               1
C64          33pF                               C-EUC0603_DWS                     C0603_DWS                 rcl               1
C65          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C66          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C67          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C68          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C69          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C70          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C71          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
